Date,Open,High,Low,Close
04/23/2025,"3,367.70","3,396.00","3,270.80","3,294.10"
04/22/2025,"3,435.10","3,509.90","3,379.10","3,419.40"
04/21/2025,"3,347.00","3,442.30","3,344.00","3,425.30"
04/17/2025,"3,357.50","3,371.90","3,296.40","3,328.40"
04/16/2025,"3,248.40","3,358.40","3,245.20","3,346.40"
04/15/2025,"3,226.10","3,250.90","3,225.50","3,240.40"
04/14/2025,"3,246.00","3,261.60","3,208.70","3,226.30"
04/11/2025,"3,194.20","3,263.00","3,193.40","3,244.60"
04/10/2025,"3,099.10","3,195.00","3,086.10","3,177.50"
04/09/2025,"2,998.30","3,118.50","2,983.30","3,079.40"
04/08/2025,"2,997.50","3,037.90","2,988.60","2,990.20"
04/07/2025,"3,055.10","3,084.40","2,970.40","2,973.60"
04/04/2025,"3,138.00","3,160.20","3,032.70","3,035.40"
04/03/2025,"3,196.60","3,196.60","3,073.50","3,121.70"
04/02/2025,"3,147.50","3,201.60","3,135.70","3,166.20"
04/01/2025,"3,157.30","3,177.00","3,130.50","3,146.00"
03/31/2025,"3,118.80","3,162.00","3,112.40","3,150.30"
03/28/2025,"3,099.30","3,124.40","3,096.30","3,114.30"
03/27/2025,"3,025.60","3,071.30","3,022.30","3,061.00"
03/26/2025,"3,025.80","3,036.10","3,017.80","3,022.50"
03/25/2025,"3,017.50","3,042.40","3,010.80","3,025.90"
03/24/2025,"3,027.60","3,038.40","3,007.70","3,015.60"
03/21/2025,"3,052.60","3,055.00","3,004.10","3,021.40"
03/20/2025,"3,058.00","3,065.20","3,032.80","3,043.80"
03/19/2025,"3,041.40","3,061.60","3,031.30","3,041.20"
03/18/2025,"3,009.40","3,047.50","3,008.20","3,040.80"
03/17/2025,"2,994.80","3,010.90","2,991.40","3,006.10"
03/14/2025,"3,001.40","3,017.10","2,988.60","3,001.10"
03/13/2025,"2,943.30","3,001.50","2,942.20","2,991.30"
03/12/2025,"2,922.30","2,948.90","2,911.00","2,946.80"
03/11/2025,"2,893.20","2,929.00","2,882.50","2,920.90"
03/10/2025,"2,919.60","2,926.40","2,885.20","2,899.40"
03/07/2025,"2,919.20","2,938.80","2,905.30","2,914.10"
03/06/2025,"2,929.50","2,935.90","2,897.60","2,926.60"
03/05/2025,"2,929.00","2,941.30","2,903.40","2,926.00"
03/04/2025,"2,904.20","2,939.80","2,892.50","2,920.60"
03/03/2025,"2,872.00","2,906.40","2,866.30","2,901.10"
02/28/2025,"2,889.00","2,896.10","2,844.10","2,848.50"
02/27/2025,"2,931.40","2,935.80","2,879.00","2,895.90"
02/26/2025,"2,929.00","2,942.00","2,903.30","2,930.60"
02/25/2025,"2,968.50","2,970.40","2,897.00","2,918.80"
02/24/2025,"2,950.40","2,974.00","2,936.80","2,963.20"
02/21/2025,"2,955.70","2,964.70","2,930.10","2,953.20"
02/20/2025,"2,949.50","2,973.40","2,939.30","2,956.10"
02/19/2025,"2,954.10","2,964.40","2,933.70","2,936.10"
02/18/2025,"2,911.10","2,956.50","2,904.90","2,949.00"
02/14/2025,"2,957.30","2,964.10","2,889.90","2,900.70"
02/13/2025,"2,928.80","2,958.80","2,925.80","2,945.40"
02/12/2025,"2,927.00","2,936.50","2,886.50","2,928.70"
02/11/2025,"2,937.00","2,968.50","2,907.00","2,932.60"
02/10/2025,"2,884.80","2,938.10","2,879.90","2,934.40"
02/07/2025,"2,880.20","2,910.60","2,876.10","2,887.60"
02/06/2025,"2,885.00","2,894.20","2,855.00","2,876.70"
02/05/2025,"2,873.70","2,906.00","2,870.10","2,893.00"
02/04/2025,"2,850.40","2,877.10","2,837.40","2,875.80"
02/03/2025,"2,846.50","2,872.00","2,802.20","2,857.10"
01/31/2025,"2,851.90","2,862.90","2,826.00","2,835.00"
01/30/2025,"2,796.20","2,853.20","2,794.90","2,845.20"
01/29/2025,"2,771.60","2,778.10","2,761.00","2,769.80"
01/28/2025,"2,742.40","2,774.00","2,737.40","2,767.50"
01/27/2025,"2,778.10","2,778.10","2,732.00","2,738.40"
01/24/2025,"2,761.80","2,794.80","2,761.00","2,778.90"
01/23/2025,"2,765.90","2,767.10","2,741.00","2,765.00"
01/22/2025,"2,758.70","2,774.40","2,756.20","2,770.90"
01/21/2025,"2,731.60","2,762.00","2,722.70","2,759.20"
01/20/2025,"2,748.70","2,754.80","2,715.60","2,748.70"
01/17/2025,"2,746.80","2,759.20","2,729.20","2,748.70"
01/16/2025,"2,722.30","2,757.90","2,720.40","2,750.90"
01/15/2025,"2,693.30","2,722.70","2,685.40","2,717.80"
01/14/2025,"2,682.00","2,693.70","2,672.00","2,682.30"
01/13/2025,"2,716.80","2,723.80","2,675.20","2,678.60"
01/10/2025,"2,692.90","2,735.00","2,686.90","2,715.00"
01/09/2025,"2,690.80","2,696.80","2,690.80","2,690.80"
01/08/2025,"2,662.90","2,687.00","2,658.40","2,672.40"
01/07/2025,"2,647.10","2,678.50","2,643.50","2,665.40"
01/06/2025,"2,652.80","2,663.80","2,624.60","2,647.40"
01/03/2025,"2,671.10","2,681.00","2,649.70","2,654.70"
01/02/2025,"2,641.00","2,674.20","2,636.10","2,669.00"
12/31/2024,"2,620.00","2,642.00","2,614.30","2,641.00"
12/30/2024,"2,636.10","2,640.70","2,608.40","2,618.10"
12/27/2024,"2,653.70","2,654.60","2,625.20","2,631.90"
12/26/2024,"2,638.00","2,655.70","2,634.10","2,653.90"
12/24/2024,"2,629.40","2,635.80","2,624.20","2,635.50"
12/23/2024,"2,639.10","2,646.80","2,623.20","2,628.20"
12/20/2024,"2,609.70","2,653.80","2,603.70","2,645.10"
12/19/2024,"2,600.60","2,640.90","2,596.70","2,608.10"
12/18/2024,"2,663.30","2,667.60","2,598.10","2,653.30"
12/17/2024,"2,670.20","2,675.80","2,646.10","2,662.00"
12/16/2024,"2,668.00","2,683.40","2,661.40","2,670.00"
12/13/2024,"2,704.90","2,716.40","2,663.30","2,675.80"
12/12/2024,"2,753.60","2,761.30","2,696.70","2,709.40"
12/11/2024,"2,721.20","2,759.70","2,719.10","2,756.70"
12/10/2024,"2,684.40","2,721.70","2,680.70","2,718.40"
12/09/2024,"2,665.00","2,700.00","2,649.70","2,685.80"
12/06/2024,"2,655.00","2,667.90","2,635.60","2,659.60"
12/05/2024,"2,674.20","2,680.00","2,646.30","2,648.40"
12/04/2024,"2,665.80","2,682.00","2,654.20","2,676.20"
12/03/2024,"2,662.00","2,678.40","2,656.60","2,667.90"
12/02/2024,"2,673.80","2,678.50","2,644.50","2,658.50"
11/29/2024,"2,661.90","2,690.50","2,657.50","2,681.00"
11/27/2024,"2,633.50","2,657.90","2,627.20","2,639.90"
11/26/2024,"2,626.20","2,642.70","2,605.30","2,621.30"
11/25/2024,"2,716.90","2,723.20","2,616.60","2,618.50"
11/22/2024,"2,672.00","2,718.50","2,670.10","2,712.20"
11/21/2024,"2,653.50","2,676.50","2,651.60","2,674.90"
11/20/2024,"2,635.80","2,659.00","2,621.90","2,651.70"
11/19/2024,"2,616.30","2,643.40","2,614.20","2,631.00"
11/18/2024,"2,571.50","2,619.50","2,568.50","2,614.60"
11/15/2024,"2,570.40","2,580.80","2,558.90","2,570.10"
11/14/2024,"2,578.10","2,585.80","2,541.50","2,572.90"
11/13/2024,"2,604.70","2,625.00","2,578.10","2,586.50"
11/12/2024,"2,625.70","2,633.40","2,595.70","2,606.30"
11/11/2024,"2,692.10","2,693.40","2,617.10","2,617.70"
11/08/2024,"2,713.60","2,717.80","2,687.30","2,694.80"
11/07/2024,"2,667.70","2,718.30","2,650.30","2,705.80"
11/06/2024,"2,752.60","2,758.80","2,660.70","2,676.30"
11/05/2024,"2,746.00","2,759.50","2,733.40","2,749.70"
11/04/2024,"2,743.50","2,757.50","2,739.40","2,746.20"
11/01/2024,"2,754.00","2,772.40","2,742.60","2,749.20"
10/31/2024,"2,799.10","2,801.20","2,741.80","2,749.30"
10/30/2024,"2,786.90","2,801.80","2,782.40","2,800.80"
10/29/2024,"2,754.30","2,787.70","2,752.00","2,781.10"
10/28/2024,"2,749.20","2,758.30","2,736.90","2,755.90"
10/25/2024,"2,748.60","2,760.90","2,729.10","2,754.60"
10/24/2024,"2,729.20","2,756.30","2,728.70","2,748.90"
10/23/2024,"2,762.60","2,772.60","2,722.10","2,729.40"
10/22/2024,"2,734.70","2,763.30","2,733.50","2,759.80"
10/21/2024,"2,736.30","2,755.40","2,728.50","2,738.90"
10/18/2024,"2,707.80","2,737.80","2,707.30","2,730.00"
10/17/2024,"2,690.40","2,712.70","2,688.20","2,707.50"
10/16/2024,"2,679.50","2,702.50","2,674.90","2,691.30"
10/15/2024,"2,663.50","2,685.90","2,654.40","2,678.90"
10/14/2024,"2,673.10","2,684.20","2,660.00","2,665.60"
10/11/2024,"2,647.40","2,679.00","2,645.30","2,676.30"
10/10/2024,"2,625.80","2,648.90","2,618.80","2,639.30"
10/09/2024,"2,640.70","2,642.90","2,622.80","2,626.00"
10/08/2024,"2,662.80","2,672.40","2,623.40","2,635.40"
10/07/2024,"2,671.70","2,679.20","2,657.30","2,666.00"
10/04/2024,"2,675.70","2,690.60","2,651.60","2,667.80"
10/03/2024,"2,679.90","2,683.40","2,657.80","2,679.20"
10/02/2024,"2,684.60","2,684.80","2,662.10","2,669.70"
10/01/2024,"2,656.10","2,694.70","2,653.80","2,690.30"
09/30/2024,"2,680.50","2,687.70","2,646.20","2,659.40"
09/27/2024,"2,695.10","2,696.90","2,665.30","2,668.10"
09/26/2024,"2,681.20","2,708.70","2,677.50","2,694.90"
