Date,Open,High,Low,Close
04/23/2024,"2,342.30","2,347.90","2,304.60","2,342.10"
04/22/2024,"2,403.70","2,404.30","2,338.20","2,346.40"
04/19/2024,"2,394.00","2,433.30","2,386.80","2,413.80"
04/18/2024,"2,377.90","2,408.00","2,377.20","2,398.00"
04/17/2024,"2,398.00","2,412.00","2,370.70","2,388.40"
04/16/2024,"2,399.10","2,414.80","2,379.20","2,407.80"
04/15/2024,"2,369.40","2,404.30","2,340.20","2,383.00"
04/12/2024,"2,389.40","2,448.80","2,350.60","2,374.10"
04/11/2024,"2,351.70","2,395.60","2,343.10","2,372.70"
04/10/2024,"2,372.40","2,378.10","2,337.10","2,348.40"
04/09/2024,"2,358.10","2,384.50","2,355.70","2,362.40"
04/08/2024,"2,343.60","2,372.50","2,321.70","2,351.00"
04/05/2024,"2,309.50","2,350.00","2,286.20","2,345.40"
04/04/2024,"2,321.00","2,325.30","2,298.70","2,308.50"
04/03/2024,"2,301.70","2,321.80","2,285.70","2,315.00"
04/02/2024,"2,272.70","2,301.90","2,267.10","2,281.80"
04/01/2024,"2,259.20","2,286.40","2,249.10","2,257.10"
03/28/2024,"2,215.70","2,256.90","2,207.50","2,238.40"
03/27/2024,"2,200.50","2,218.30","2,193.70","2,212.70"
03/26/2024,"2,173.00","2,200.60","2,168.30","2,177.20"
03/25/2024,"2,166.60","2,182.50","2,164.40","2,176.40"
03/22/2024,"2,183.40","2,188.00","2,158.40","2,160.00"
03/21/2024,"2,190.20","2,225.30","2,168.20","2,184.70"
03/20/2024,"2,161.40","2,192.20","2,152.30","2,161.00"
03/19/2024,"2,164.00","2,166.30","2,150.20","2,159.70"
03/18/2024,"2,159.90","2,167.20","2,149.20","2,164.30"
03/15/2024,"2,166.20","2,176.90","2,158.70","2,161.50"
03/14/2024,"2,179.50","2,181.30","2,157.00","2,167.50"
03/13/2024,"2,163.60","2,185.60","2,161.30","2,180.80"
03/12/2024,"2,189.10","2,190.80","2,156.20","2,166.10"
03/11/2024,"2,187.60","2,195.50","2,180.90","2,188.60"
03/08/2024,"2,166.60","2,203.00","2,161.20","2,185.50"
03/07/2024,"2,156.70","2,172.20","2,151.70","2,165.20"
03/06/2024,"2,136.40","2,160.70","2,131.90","2,158.20"
03/05/2024,"2,123.30","2,150.50","2,118.50","2,141.90"
03/04/2024,"2,091.60","2,128.40","2,088.10","2,126.30"
03/01/2024,"2,052.80","2,097.10","2,047.00","2,095.70"
02/29/2024,"2,043.80","2,059.40","2,036.00","2,054.70"
02/28/2024,"2,039.70","2,047.40","2,033.40","2,042.70"
02/27/2024,"2,041.20","2,049.10","2,038.10","2,044.10"
02/26/2024,"2,044.20","2,046.80","2,034.10","2,038.90"
02/23/2024,"2,034.10","2,053.20","2,025.40","2,049.40"
02/22/2024,"2,036.50","2,045.50","2,029.30","2,030.70"
02/21/2024,"2,036.20","2,043.50","2,030.90","2,034.30"
02/20/2024,"2,029.40","2,042.70","2,026.20","2,039.80"
02/16/2024,"2,016.10","2,027.20","2,006.60","2,024.10"
02/15/2024,"2,004.80","2,020.20","2,001.80","2,014.90"
02/14/2024,"2,006.30","2,008.80","1,996.40","2,004.30"
02/13/2024,"2,033.70","2,047.30","2,002.80","2,007.20"
02/12/2024,"2,038.20","2,041.80","2,025.40","2,033.00"
02/09/2024,"2,049.70","2,051.90","2,034.30","2,038.70"
02/08/2024,"2,051.00","2,053.80","2,034.60","2,047.90"
02/07/2024,"2,052.60","2,061.30","2,046.40","2,051.70"
02/06/2024,"2,041.40","2,055.30","2,038.80","2,051.40"
02/05/2024,"2,057.90","2,059.10","2,030.80","2,042.90"
02/02/2024,"2,072.00","2,074.70","2,044.20","2,053.70"
02/01/2024,"2,057.90","2,083.20","2,046.40","2,071.10"
01/31/2024,"2,055.30","2,074.60","2,048.80","2,067.40"
01/30/2024,"2,051.50","2,068.00","2,047.10","2,050.90"
01/29/2024,"2,024.40","2,037.20","2,018.80","2,025.40"
01/26/2024,"2,021.00","2,028.10","2,015.60","2,017.30"
01/25/2024,"2,014.80","2,025.60","2,004.00","2,017.80"
01/24/2024,"2,030.70","2,037.90","2,011.70","2,016.00"
01/23/2024,"2,023.20","2,039.30","2,020.80","2,025.80"
01/22/2024,"2,031.80","2,034.10","2,017.40","2,022.20"
01/19/2024,"2,027.40","2,041.90","2,022.20","2,029.30"
01/18/2024,"2,009.10","2,025.60","2,007.70","2,021.60"
01/17/2024,"2,031.70","2,036.10","2,004.60","2,006.50"
01/16/2024,"2,060.40","2,060.40","2,027.60","2,030.20"
01/12/2024,"2,033.20","2,067.30","2,033.10","2,051.60"
01/11/2024,"2,029.40","2,056.10","2,017.30","2,019.20"
01/10/2024,"2,036.00","2,046.20","2,025.90","2,027.80"
01/09/2024,"2,034.50","2,048.60","2,031.90","2,033.00"
01/08/2024,"2,052.60","2,053.30","2,022.70","2,033.50"
01/05/2024,"2,051.40","2,071.10","2,030.80","2,049.80"
01/04/2024,"2,049.30","2,058.10","2,043.30","2,050.00"
01/03/2024,"2,067.90","2,074.30","2,038.30","2,042.80"
01/02/2024,"2,072.70","2,088.10","2,064.30","2,073.40"
12/29/2023,"2,076.10","2,084.10","2,067.60","2,071.80"
12/28/2023,"2,089.50","2,098.20","2,074.60","2,083.50"
12/27/2023,"2,079.30","2,095.80","2,072.80","2,093.10"
12/26/2023,"2,066.00","2,080.50","2,065.10","2,069.80"
12/22/2023,"2,061.20","2,083.00","2,058.20","2,069.10"
12/21/2023,"2,044.40","2,058.00","2,043.30","2,051.30"
